date,open,high,low,close,volume,close_normalized,SMA_20,EMA_20,close_lag1,close_lag3
2024-11-29,227.75,230.36,227.19,227.41,2640093,2.5965522518590887,132.03236702161476,227.41,132.11292896988908,132.12482590361444
2024-11-27,228.83,229.19,224.27,226.92,2995121,2.583202043050251,132.03236702161476,227.36333333333334,227.41,132.12482590361444
2024-11-26,226.73,228.98,225.5115,228.83,4449543,2.6352406120806178,132.03236702161476,227.50301587301587,226.92,132.12482590361444
2024-11-25,223.35,226.42,222.65,226.13,7189260,2.561678237011513,132.03236702161476,227.37225245653818,228.83,227.41
2024-11-22,223.35,227.2,220.89,222.97,5320740,2.4755830128565615,132.03236702161476,226.95299031782025,226.13,226.92
2024-11-21,215.81,222.63,215.2701,222.4,5236434,2.4600531781197508,132.03236702161476,226.51937219231357,222.97,228.83
2024-11-20,211.0,214.96,209.7725,214.6,4562901,2.2475396501423384,132.03236702161476,225.3841938882837,222.4,226.13
2024-11-19,206.5,210.33,206.19,210.25,2860746,2.129022490308782,132.03236702161476,223.94284208939953,214.6,222.97
2024-11-18,207.0,208.415,205.3701,208.09,3406045,2.0701725902534984,132.03236702161476,222.4330476046948,210.25,222.4
2024-11-15,207.46,208.49,204.07,204.99,3986460,1.9857120855445272,132.03236702161476,220.77180497567625,208.09,214.6
2024-11-14,210.0,210.4999,206.35,208.99,6372853,2.0946933819432,132.03236702161476,219.64972831132613,204.99,210.25
2024-11-13,209.5,211.41,209.0701,210.92,3247830,2.147276857455559,132.03236702161476,218.81832561500937,208.99,208.09
2024-11-12,211.9,213.03,209.06,210.86,2818216,2.14564213800958,132.03236702161476,218.06038984215132,210.92,204.99
2024-11-11,214.4,215.41,213.48,213.57,3012987,2.21947696631968,132.03236702161476,217.63273366670833,210.86,208.99
2024-11-08,214.16,216.7,212.7809,213.72,3201038,2.2235637649346307,132.03236702161476,217.26009236511706,213.57,210.92
2024-11-07,213.64,214.5199,211.93,213.69,3675812,2.2227464052116406,132.03236702161476,216.92008356843922,213.72,210.86
